epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6909,0.83258,3.68813,0.9098,0.00333,1,0.995,0.55222,1.35369,3.09473,1.3521,6e-05,6e-05,6e-05
2,85.8581,0.76073,3.07263,0.89502,0.00333,1,0.995,0.5621,1.40625,2.90574,1.41326,0.00013307,0.00013307,0.00013307
3,113.437,0.89225,1.73035,0.88577,0.00333,1,0.97285,0.61518,1.26405,2.71727,1.27252,0.00019822,0.00019822,0.00019822
4,139.228,0.83526,1.62436,0.86575,0.01069,1,0.89477,0.51255,1.29271,2.71414,1.2828,0.00025545,0.00025545,0.00025545
5,165.458,0.77781,1.46379,0.87315,0.01069,1,0.89676,0.54178,1.26563,2.76977,1.27198,0.00030476,0.00030476,0.00030476
6,191.226,0.76272,1.49935,0.89164,0.00333,1,0.96533,0.63225,1.16263,2.76094,1.22448,0.00034615,0.00034615,0.00034615
7,218.86,0.79774,1.59418,0.90224,0.00333,1,0.98469,0.59759,1.23304,2.75862,1.2353,0.00037962,0.00037962,0.00037962
8,244.954,0.75267,1.31001,0.88037,0.01076,1,0.98902,0.58663,1.28068,2.76664,1.26339,0.00040517,0.00040517,0.00040517
9,270.443,0.81639,1.37023,0.92157,0.98932,0.96667,0.99451,0.5971,1.22924,2.74709,1.2345,0.0004228,0.0004228,0.0004228
10,296.125,0.72928,1.38311,0.91421,1,0.72022,0.995,0.61141,1.25873,2.61343,1.33684,0.00043251,0.00043251,0.00043251
11,321.946,0.76059,1.59833,0.85765,1,0.94122,0.9857,0.61183,1.28458,2.68878,1.38873,0.0004343,0.0004343,0.0004343
12,347.638,0.77829,1.69449,0.87458,0.03632,0.98333,0.97821,0.62334,1.20737,2.73856,1.31079,0.00042817,0.00042817,0.00042817
13,374.8,0.79096,1.68097,0.88525,1,0.73066,0.99022,0.5909,1.33483,2.57266,1.32972,0.00041412,0.00041412,0.00041412
14,400.241,0.71864,1.56236,0.87065,1,0.6582,0.98875,0.56729,1.39805,2.61585,1.34416,0.00039215,0.00039215,0.00039215
15,425.979,0.77078,1.48455,0.87926,1,0.90415,0.99396,0.56835,1.35835,2.71658,1.29765,0.00036226,0.00036226,0.00036226
16,451.602,0.79274,1.55337,0.86534,1,0.84648,0.99468,0.5878,1.36221,2.39617,1.33166,0.00032445,0.00032445,0.00032445
17,476.989,0.72801,1.51948,0.86727,1,0.93342,0.995,0.59235,1.33476,2.12983,1.34083,0.00027872,0.00027872,0.00027872
18,502.061,0.676,1.43519,0.83174,1,0.99851,0.995,0.59204,1.33939,1.78412,1.36379,0.00022507,0.00022507,0.00022507
19,528.673,0.72336,1.4231,0.86843,0.99897,1,0.995,0.60239,1.32514,1.71353,1.35235,0.0001635,0.0001635,0.0001635
20,553.834,0.72522,1.39182,0.88723,0.99862,1,0.995,0.60799,1.31678,1.66738,1.33924,9.401e-05,9.401e-05,9.401e-05
